"from"	"to"	"Metabolite"
"ENSG00000169710"	"ENSG00000136881"	"m1"
"ENSG00000169710"	"ENSG00000167910"	"m1"
"ENSG00000169710"	"ENSG00000073756"	"m1"
"ENSG00000169710"	"ENSG00000095303"	"m1"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000087076"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000099377"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000100867"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000109854"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000121039"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000138400"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000139988"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000145439"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000159692"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000160439"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000164039"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000167733"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000170426"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000170786"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000176387"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000183921"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000184860"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000186153"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000187134"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000197894"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000198074"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000198189"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000198610"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000204228"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000227471"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000240857"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000134538"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000057252"	"m1000"
"ENSG00000130876 and ENSG00000168003"	"ENSG00000167780"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000087076"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000099377"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000100867"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000109854"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000121039"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000138400"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000139988"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000145439"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000159692"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000160439"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000164039"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000167733"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000170426"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000170786"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000176387"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000183921"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000184860"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000186153"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000187134"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000197894"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198074"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198189"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000198610"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000204228"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000227471"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000240857"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000134538"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000057252"	"m1000"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000167780"	"m1000"
"ENSG00000107798"	"ENSG00000057252"	"m1001"
"ENSG00000107798"	"ENSG00000167780"	"m1001"
"ENSG00000107798"	"ENSG00000025423"	"m1001"
"ENSG00000107798"	"ENSG00000086696"	"m1001"
"ENSG00000107798"	"ENSG00000108786"	"m1001"
"ENSG00000107798"	"ENSG00000132196"	"m1001"
"ENSG00000107798"	"ENSG00000149084"	"m1001"
"ENSG00000107798"	"ENSG00000198189"	"m1001"
"ENSG00000107798"	"ENSG00000204228"	"m1001"
"ENSG00000117143"	"ENSG00000057252"	"m1001"
"ENSG00000117143"	"ENSG00000167780"	"m1001"
"ENSG00000117143"	"ENSG00000025423"	"m1001"
"ENSG00000117143"	"ENSG00000086696"	"m1001"
"ENSG00000117143"	"ENSG00000108786"	"m1001"
"ENSG00000117143"	"ENSG00000132196"	"m1001"
"ENSG00000117143"	"ENSG00000149084"	"m1001"
"ENSG00000117143"	"ENSG00000198189"	"m1001"
"ENSG00000117143"	"ENSG00000204228"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000057252"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000167780"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000025423"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000086696"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000108786"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000132196"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000149084"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000198189"	"m1001"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721"	"ENSG00000204228"	"m1001"
"ENSG00000060971 and ENSG00000167306"	"ENSG00000003989"	"m1010"
"ENSG00000060971 and ENSG00000167306"	"ENSG00000139209"	"m1010"
"ENSG00000060971 and ENSG00000167306"	"ENSG00000139514"	"m1010"
"ENSG00000060971 and ENSG00000167306"	"ENSG00000165349"	"m1010"
"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000003989"	"m1010"
"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000139209"	"m1010"
"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000139514"	"m1010"
"ENSG00000021488 and ENSG00000103064 and ENSG00000138079"	"ENSG00000165349"	"m1010"
"ENSG00000003989"	"ENSG00000090402"	"m1011"
"ENSG00000137204"	"ENSG00000145217"	"m1023"
"ENSG00000137204"	"ENSG00000155850"	"m1023"
"ENSG00000097021"	"ENSG00000087008"	"m1027"
"ENSG00000097021"	"ENSG00000161533"	"m1027"
"ENSG00000143815"	"ENSG00000087008"	"m1027"
"ENSG00000143815"	"ENSG00000161533"	"m1027"
"ENSG00000001630"	"ENSG00000087008"	"m1027"
"ENSG00000001630"	"ENSG00000161533"	"m1027"
"ENSG00000073756"	"ENSG00000087008"	"m1027"
"ENSG00000073756"	"ENSG00000161533"	"m1027"
"ENSG00000073756"	"ENSG00000161653"	"m1028"
"ENSG00000073756"	"ENSG00000203857"	"m1028"
"ENSG00000073756"	"ENSG00000203859"	"m1028"
"ENSG00000083807"	"ENSG00000155380"	"m1036"
"ENSG00000117308"	"ENSG00000073756"	"m1043"
"ENSG00000117308"	"ENSG00000095303"	"m1043"
"ENSG00000117308"	"ENSG00000107798"	"m1043"
"ENSG00000117308"	"ENSG00000170835"	"m1043"
"ENSG00000117308"	"ENSG00000160200"	"m1043"
"ENSG00000231852"	"ENSG00000136877"	"m1048"
"ENSG00000231852"	"ENSG00000137563"	"m1048"
"ENSG00000231852"	"ENSG00000140459"	"m1048"
"ENSG00000231852"	"ENSG00000135226"	"m1048"
"ENSG00000231852"	"ENSG00000171234"	"m1048"
"ENSG00000231852"	"ENSG00000197888"	"m1048"
"ENSG00000231852"	"ENSG00000241635"	"m1048"
"ENSG00000231852"	"ENSG00000242366"	"m1048"
"ENSG00000231852"	"ENSG00000242515"	"m1048"
"ENSG00000231852"	"ENSG00000176387"	"m1048"
"ENSG00000231852"	"ENSG00000103222"	"m1048"
"ENSG00000137563"	"ENSG00000136877"	"m1048"
"ENSG00000137563"	"ENSG00000137563"	"m1048"
"ENSG00000137563"	"ENSG00000140459"	"m1048"
"ENSG00000137563"	"ENSG00000135226"	"m1048"
"ENSG00000137563"	"ENSG00000171234"	"m1048"
"ENSG00000137563"	"ENSG00000197888"	"m1048"
"ENSG00000137563"	"ENSG00000241635"	"m1048"
"ENSG00000137563"	"ENSG00000242366"	"m1048"
"ENSG00000137563"	"ENSG00000242515"	"m1048"
"ENSG00000137563"	"ENSG00000176387"	"m1048"
"ENSG00000137563"	"ENSG00000103222"	"m1048"
"ENSG00000203857"	"ENSG00000136877"	"m1048"
"ENSG00000203857"	"ENSG00000137563"	"m1048"
"ENSG00000203857"	"ENSG00000140459"	"m1048"
"ENSG00000203857"	"ENSG00000135226"	"m1048"
"ENSG00000203857"	"ENSG00000171234"	"m1048"
"ENSG00000203857"	"ENSG00000197888"	"m1048"
"ENSG00000203857"	"ENSG00000241635"	"m1048"
"ENSG00000203857"	"ENSG00000242366"	"m1048"
"ENSG00000203857"	"ENSG00000242515"	"m1048"
"ENSG00000203857"	"ENSG00000176387"	"m1048"
"ENSG00000203857"	"ENSG00000103222"	"m1048"
"ENSG00000021488"	"ENSG00000169710"	"m1050"
"ENSG00000057252"	"ENSG00000021488"	"m1055"
"ENSG00000057252"	"ENSG00000084453"	"m1055"
"ENSG00000057252"	"ENSG00000111700"	"m1055"
"ENSG00000057252"	"ENSG00000057252"	"m1055"
"ENSG00000057252"	"ENSG00000167780"	"m1055"
"ENSG00000169710"	"ENSG00000021488"	"m1055"
"ENSG00000169710"	"ENSG00000084453"	"m1055"
"ENSG00000169710"	"ENSG00000111700"	"m1055"
"ENSG00000169710"	"ENSG00000057252"	"m1055"
"ENSG00000169710"	"ENSG00000167780"	"m1055"
"ENSG00000057252"	"ENSG00000107798"	"m1056"
"ENSG00000057252"	"ENSG00000170835"	"m1056"
"ENSG00000021488"	"ENSG00000057252"	"m1056"
"ENSG00000021488"	"ENSG00000167780"	"m1056"
"ENSG00000021488"	"ENSG00000107798"	"m1056"
"ENSG00000021488"	"ENSG00000170835"	"m1056"
"ENSG00000007350"	"ENSG00000107798"	"m1058"
"ENSG00000007350"	"ENSG00000170835"	"m1058"
"ENSG00000007350"	"ENSG00000103064"	"m1058"
"ENSG00000007350"	"ENSG00000103257"	"m1058"
"ENSG00000103064"	"ENSG00000107798"	"m1059"
"ENSG00000103064"	"ENSG00000170835"	"m1059"
"ENSG00000140459"	"ENSG00000060971"	"m1060"
"ENSG00000140459"	"ENSG00000072506"	"m1060"
"ENSG00000140459"	"ENSG00000072778"	"m1060"
"ENSG00000140459"	"ENSG00000084754"	"m1060"
"ENSG00000140459"	"ENSG00000115361"	"m1060"
"ENSG00000140459"	"ENSG00000117054"	"m1060"
"ENSG00000140459"	"ENSG00000127884"	"m1060"
"ENSG00000140459"	"ENSG00000138029"	"m1060"
"ENSG00000140459"	"ENSG00000138796"	"m1060"
"ENSG00000140459"	"ENSG00000167315"	"m1060"
"ENSG00000140459"	"ENSG00000177646"	"m1060"
"ENSG00000140459"	"ENSG00000140459"	"m1060"
"ENSG00000148795"	"ENSG00000108381"	"m1061"
"ENSG00000148795"	"ENSG00000132744"	"m1061"
"ENSG00000108381"	"ENSG00000148795"	"m1075"
"ENSG00000108381"	"ENSG00000197580"	"m1075"
"ENSG00000076555"	"ENSG00000131979"	"m1092"
"ENSG00000131473"	"ENSG00000117308"	"m1093"
"ENSG00000117143"	"ENSG00000076555"	"m1096"
"ENSG00000117143"	"ENSG00000278540"	"m1096"
"ENSG00000131979"	"ENSG00000131473"	"m1097"
"ENSG00000158019"	"ENSG00000118596"	"m1100"
"ENSG00000158019"	"ENSG00000141526"	"m1100"
"ENSG00000158019"	"ENSG00000155380"	"m1100"
"ENSG00000162365"	"ENSG00000197838"	"m1103"
"ENSG00000162365"	"ENSG00000198077"	"m1103"
"ENSG00000162365"	"ENSG00000255974"	"m1103"
"ENSG00000169710"	"ENSG00000149742"	"m1107"
"ENSG00000169710"	"ENSG00000175003"	"m1107"
"ENSG00000169710"	"ENSG00000178537"	"m1107"
"ENSG00000169710"	"ENSG00000197119"	"m1107"
"ENSG00000169710"	"ENSG00000197208"	"m1107"
"ENSG00000152463"	"ENSG00000149742"	"m1107"
"ENSG00000152463"	"ENSG00000175003"	"m1107"
"ENSG00000152463"	"ENSG00000178537"	"m1107"
"ENSG00000152463"	"ENSG00000197119"	"m1107"
"ENSG00000152463"	"ENSG00000197208"	"m1107"
"ENSG00000155380"	"ENSG00000111144"	"m1112"
"ENSG00000155380"	"ENSG00000176393"	"m1112"
"ENSG00000155380"	"ENSG00000120915"	"m1112"
"ENSG00000155380"	"ENSG00000143819"	"m1112"
"ENSG00000083807"	"ENSG00000165841"	"m1115"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000068903"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000077463"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000078124"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000096717"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000124523"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000124596"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000132744"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000133315"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000138744"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000142082"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000156795"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000157045"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000172264"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000187531"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000083807"	"m1124"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000140284"	"m1124"
"ENSG00000068903"	"ENSG00000072778"	"m1125"
"ENSG00000068903"	"ENSG00000115361"	"m1125"
"ENSG00000068903"	"ENSG00000117054"	"m1125"
"ENSG00000068903"	"ENSG00000177646"	"m1125"
"ENSG00000134538"	"ENSG00000071073"	"m1128"
"ENSG00000134538"	"ENSG00000161013"	"m1128"
"ENSG00000134538"	"ENSG00000182050"	"m1128"
"ENSG00000072778"	"ENSG00000180432"	"m1129"
"ENSG00000180432"	"ENSG00000196502"	"m1134"
"ENSG00000180432"	"ENSG00000197165"	"m1134"
"ENSG00000180432"	"ENSG00000213648"	"m1134"
"ENSG00000180432"	"ENSG00000261052"	"m1134"
"ENSG00000180432"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1134"
"ENSG00000108839"	"ENSG00000068366"	"m114"
"ENSG00000108839"	"ENSG00000103740"	"m114"
"ENSG00000108839"	"ENSG00000123983"	"m114"
"ENSG00000108839"	"ENSG00000130377"	"m114"
"ENSG00000108839"	"ENSG00000140284"	"m114"
"ENSG00000108839"	"ENSG00000151726"	"m114"
"ENSG00000108839"	"ENSG00000164398"	"m114"
"ENSG00000108839"	"ENSG00000197142"	"m114"
"ENSG00000108839"	"ENSG00000239642"	"m114"
"ENSG00000108839"	"ENSG00000108839"	"m114"
"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000156110"	"m1141"
"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000156136"	"m1141"
"ENSG00000149742"	"ENSG00000169710"	"m1144"
"ENSG00000149742"	"ENSG00000152463"	"m1144"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835"	"ENSG00000183044"	"m1147"
"ENSG00000165841"	"ENSG00000183044"	"m1147"
"ENSG00000088305 and ENSG00000130816"	"ENSG00000088826"	"m1155"
"ENSG00000130164"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"m1158"
"ENSG00000169710"	"ENSG00000073734"	"m1169"
"ENSG00000169710"	"ENSG00000103222"	"m1169"
"ENSG00000169710"	"ENSG00000108846"	"m1169"
"ENSG00000169710"	"ENSG00000125257"	"m1169"
"ENSG00000169710"	"ENSG00000163959"	"m1169"
"ENSG00000169710"	"ENSG00000186198"	"m1169"
"ENSG00000103064"	"ENSG00000103064"	"m1171"
"ENSG00000103064"	"ENSG00000103257"	"m1171"
"ENSG00000103064"	"ENSG00000057252"	"m1172"
"ENSG00000103064"	"ENSG00000167780"	"m1172"
"ENSG00000057252"	"ENSG00000103257"	"m1176"
"ENSG00000074800"	"ENSG00000103257"	"m1176"
"ENSG00000103257"	"ENSG00000072778"	"m1180"
"ENSG00000103257"	"ENSG00000115361"	"m1180"
"ENSG00000103257"	"ENSG00000117054"	"m1180"
"ENSG00000103257"	"ENSG00000177646"	"m1180"
"ENSG00000103257"	"ENSG00000120437"	"m1181"
"ENSG00000099797"	"ENSG00000074696"	"m1188"
"ENSG00000099797"	"ENSG00000146066"	"m1188"
"ENSG00000099797"	"ENSG00000165996"	"m1188"
"ENSG00000099797"	"ENSG00000188921"	"m1188"
"ENSG00000099797"	"ENSG00000206527"	"m1188"
"ENSG00000099797"	"ENSG00000104823"	"m1188"
"ENSG00000099797"	"ENSG00000167969"	"m1188"
"ENSG00000099797"	"ENSG00000198721"	"m1188"
"ENSG00000104823"	"ENSG00000057252"	"m1190"
"ENSG00000104823"	"ENSG00000167780"	"m1190"
"ENSG00000162365"	"ENSG00000162365"	"m1195"
"ENSG00000162365"	"ENSG00000187048"	"m1195"
"ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562"	"ENSG00000112499"	"m1196"
"ENSG00000130649"	"ENSG00000162365"	"m1197"
"ENSG00000130649"	"ENSG00000187048"	"m1197"
"ENSG00000100156"	"ENSG00000099998"	"m120"
"ENSG00000100156"	"ENSG00000100031"	"m120"
"ENSG00000100156"	"ENSG00000100121"	"m120"
"ENSG00000100156"	"ENSG00000131067"	"m120"
"ENSG00000100156"	"ENSG00000133475"	"m120"
"ENSG00000100156"	"ENSG00000149435"	"m120"
"ENSG00000100156"	"ENSG00000167741"	"m120"
"ENSG00000014641"	"ENSG00000146701"	"m1200"
"ENSG00000112499"	"ENSG00000138109"	"m1202"
"ENSG00000112499"	"ENSG00000165841"	"m1202"
"ENSG00000138109"	"ENSG00000130649"	"m1203"
"ENSG00000120053"	"ENSG00000014641"	"m1204"
"ENSG00000120053"	"ENSG00000138400"	"m1204"
"ENSG00000179142"	"ENSG00000119723"	"m1206"
"ENSG00000179142"	"ENSG00000130649"	"m1206"
"ENSG00000179142"	"ENSG00000145476"	"m1206"
"ENSG00000156510"	"ENSG00000105220"	"m1213"
"ENSG00000055609 and ENSG00000272333"	"ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562"	"m1217"
"ENSG00000103064"	"ENSG00000007350"	"m1218"
"ENSG00000103064"	"ENSG00000151005"	"m1218"
"ENSG00000103064"	"ENSG00000163931"	"m1218"
"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103064"	"m1219"
"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103257"	"m1219"
"ENSG00000107798"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"m1235"
"ENSG00000110090"	"ENSG00000095321"	"m1242"
"ENSG00000110090"	"ENSG00000110090"	"m1244"
"ENSG00000110090"	"ENSG00000169169"	"m1244"
"ENSG00000110090"	"ENSG00000205560"	"m1244"
"ENSG00000196517"	"ENSG00000241635"	"m1247"
"ENSG00000196517"	"ENSG00000242366"	"m1247"
"ENSG00000196517"	"ENSG00000242515"	"m1247"
"ENSG00000103222"	"ENSG00000241635"	"m1247"
"ENSG00000103222"	"ENSG00000242366"	"m1247"
"ENSG00000103222"	"ENSG00000242515"	"m1247"
"ENSG00000083123"	"ENSG00000138363"	"m1251"
"ENSG00000083123"	"ENSG00000057252"	"m1251"
"ENSG00000083123"	"ENSG00000167780"	"m1251"
"ENSG00000125166"	"ENSG00000138363"	"m1251"
"ENSG00000125166"	"ENSG00000057252"	"m1251"
"ENSG00000125166"	"ENSG00000167780"	"m1251"
"ENSG00000060971"	"ENSG00000138363"	"m1251"
"ENSG00000060971"	"ENSG00000057252"	"m1251"
"ENSG00000060971"	"ENSG00000167780"	"m1251"
"ENSG00000241635"	"ENSG00000138363"	"m1251"
"ENSG00000241635"	"ENSG00000057252"	"m1251"
"ENSG00000241635"	"ENSG00000167780"	"m1251"
"ENSG00000072042"	"ENSG00000138363"	"m1251"
"ENSG00000072042"	"ENSG00000057252"	"m1251"
"ENSG00000072042"	"ENSG00000167780"	"m1251"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000100156"	"m1257"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000108932"	"m1257"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000118596"	"m1257"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000141526"	"m1257"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000155380"	"m1257"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000168679"	"m1257"
"ENSG00000084453 and ENSG00000111700"	"ENSG00000170190"	"m1257"
"ENSG00000145217"	"ENSG00000135929"	"m1258"
"ENSG00000145217"	"ENSG00000084453 and ENSG00000111700"	"m1258"
"ENSG00000145217"	"ENSG00000057252"	"m1258"
"ENSG00000145217"	"ENSG00000167780"	"m1258"
"ENSG00000145217"	"ENSG00000100626"	"m1258"
"ENSG00000145217"	"ENSG00000106648"	"m1258"
"ENSG00000145217"	"ENSG00000109586"	"m1258"
"ENSG00000145217"	"ENSG00000110328"	"m1258"
"ENSG00000145217"	"ENSG00000115339"	"m1258"
"ENSG00000145217"	"ENSG00000119514"	"m1258"
"ENSG00000145217"	"ENSG00000130035"	"m1258"
"ENSG00000145217"	"ENSG00000131386"	"m1258"
"ENSG00000145217"	"ENSG00000136542"	"m1258"
"ENSG00000145217"	"ENSG00000139629"	"m1258"
"ENSG00000145217"	"ENSG00000141429"	"m1258"
"ENSG00000145217"	"ENSG00000143641"	"m1258"
"ENSG00000145217"	"ENSG00000144278"	"m1258"
"ENSG00000145217"	"ENSG00000158089"	"m1258"
"ENSG00000145217"	"ENSG00000164574"	"m1258"
"ENSG00000145217"	"ENSG00000174473"	"m1258"
"ENSG00000145217"	"ENSG00000178234"	"m1258"
"ENSG00000145217"	"ENSG00000182870"	"m1258"
"ENSG00000145217"	"ENSG00000185274"	"m1258"
"ENSG00000145217"	"ENSG00000257594"	"m1258"
"ENSG00000145217"	"ENSG00000259075"	"m1258"
"ENSG00000145217"	"ENSG00000120563"	"m1258"
"ENSG00000145217"	"ENSG00000174876"	"m1258"
"ENSG00000145217"	"ENSG00000187733"	"m1258"
"ENSG00000145217"	"ENSG00000237763"	"m1258"
"ENSG00000145217"	"ENSG00000240038"	"m1258"
"ENSG00000145217"	"ENSG00000243480"	"m1258"
"ENSG00000145217"	"ENSG00000099624 and ENSG00000110955 and ENSG00000116459 and ENSG00000124172 and ENSG00000135390 and ENSG00000152234 and ENSG00000154518 and ENSG00000154723 and ENSG00000156411 and ENSG00000159199 and ENSG00000165629 and ENSG00000167283 and ENSG00000167863 and ENSG00000169020 and ENSG00000173915 and ENSG00000198899 and ENSG00000228253 and ENSG00000241468 and ENSG00000241837"	"m1258"
"ENSG00000145217"	"ENSG00000069535"	"m1258"
"ENSG00000145217"	"ENSG00000189221"	"m1258"
"ENSG00000100156"	"ENSG00000135929"	"m1258"
"ENSG00000100156"	"ENSG00000084453 and ENSG00000111700"	"m1258"
"ENSG00000100156"	"ENSG00000057252"	"m1258"
"ENSG00000100156"	"ENSG00000167780"	"m1258"
"ENSG00000100156"	"ENSG00000100626"	"m1258"
"ENSG00000100156"	"ENSG00000106648"	"m1258"
"ENSG00000100156"	"ENSG00000109586"	"m1258"
"ENSG00000100156"	"ENSG00000110328"	"m1258"
"ENSG00000100156"	"ENSG00000115339"	"m1258"
"ENSG00000100156"	"ENSG00000119514"	"m1258"
"ENSG00000100156"	"ENSG00000130035"	"m1258"
"ENSG00000100156"	"ENSG00000131386"	"m1258"
"ENSG00000100156"	"ENSG00000136542"	"m1258"
"ENSG00000100156"	"ENSG00000139629"	"m1258"
"ENSG00000100156"	"ENSG00000141429"	"m1258"
"ENSG00000100156"	"ENSG00000143641"	"m1258"
"ENSG00000100156"	"ENSG00000144278"	"m1258"
"ENSG00000100156"	"ENSG00000158089"	"m1258"
"ENSG00000100156"	"ENSG00000164574"	"m1258"
"ENSG00000100156"	"ENSG00000174473"	"m1258"
"ENSG00000100156"	"ENSG00000178234"	"m1258"
"ENSG00000100156"	"ENSG00000182870"	"m1258"
"ENSG00000100156"	"ENSG00000185274"	"m1258"
"ENSG00000100156"	"ENSG00000257594"	"m1258"
"ENSG00000100156"	"ENSG00000259075"	"m1258"
"ENSG00000100156"	"ENSG00000120563"	"m1258"
"ENSG00000100156"	"ENSG00000174876"	"m1258"
"ENSG00000100156"	"ENSG00000187733"	"m1258"
"ENSG00000100156"	"ENSG00000237763"	"m1258"
"ENSG00000100156"	"ENSG00000240038"	"m1258"
"ENSG00000100156"	"ENSG00000243480"	"m1258"
"ENSG00000100156"	"ENSG00000099624 and ENSG00000110955 and ENSG00000116459 and ENSG00000124172 and ENSG00000135390 and ENSG00000152234 and ENSG00000154518 and ENSG00000154723 and ENSG00000156411 and ENSG00000159199 and ENSG00000165629 and ENSG00000167283 and ENSG00000167863 and ENSG00000169020 and ENSG00000173915 and ENSG00000198899 and ENSG00000228253 and ENSG00000241468 and ENSG00000241837"	"m1258"
"ENSG00000100156"	"ENSG00000069535"	"m1258"
"ENSG00000100156"	"ENSG00000189221"	"m1258"
"ENSG00000068366"	"ENSG00000135929"	"m1258"
"ENSG00000068366"	"ENSG00000084453 and ENSG00000111700"	"m1258"
"ENSG00000068366"	"ENSG00000057252"	"m1258"
"ENSG00000068366"	"ENSG00000167780"	"m1258"
"ENSG00000068366"	"ENSG00000100626"	"m1258"
